time,coin,dir,px,sz,ntl,fee,closedPnl
18:20:05 27/6/2026,BTC,Open Long,59983,0.0025,149.9575,0.022493,-0.022493
18:20:20 27/6/2026,BTC,Open Long,59983,0.002,119.96600000000001,0.017994,-0.017994
18:21:12 27/6/2026,BTC,Open Long,59983,0.00055,32.99065,0.004948,-0.004948
18:22:27 27/6/2026,BTC,Open Long,59983,0.00055,32.99065,0.004948,-0.004948
18:22:37 27/6/2026,BTC,Open Long,59983,0.00238,142.75954000000002,0.021413,-0.021413
18:22:41 27/6/2026,BTC,Open Long,59983,0.00017,10.19711,0.001529,-0.001529
18:25:28 27/6/2026,BTC,Open Long,59983,0.00055,32.99065,0.004948,-0.004948
18:25:52 27/6/2026,BTC,Open Long,59983,0.00001,0.5998300000000001,0.000089,-0.000089
20:36:47 27/6/2026,BTC,Close Long,59633.0175956284,0.0915,5456.421109999998,2.455372,-44.177761999999994
21:26:34 27/6/2026,BTC,Open Long,59597,0.00167,99.52699,0.014929,-0.014929
21:26:42 27/6/2026,BTC,Close Long,59565,0.00167,99.47355,0.044762,-0.09820200000000001
21:27:43 27/6/2026,BTC,Open Long,59565,0.00167,99.47355,0.014921,-0.014921
21:27:52 27/6/2026,BTC,Close Long,59514.1137724551,0.00167,99.38857000000002,0.044724,-0.12970399999999999
21:55:52 27/6/2026,BTC,Open Short,60083,0.00038,22.83154,0.003424,-0.003424
21:56:06 27/6/2026,BTC,Open Short,60083,0.00128,76.90624000000001,0.011535,-0.011535
21:56:10 27/6/2026,BTC,Close Short,60107.921686747,0.00166,99.77915000000003,0.0449,-0.08627
22:17:16 27/6/2026,BTC,Open Long,59913,0.00083,49.72779,0.007459,-0.007459
22:17:21 27/6/2026,BTC,Close Long,59764,0.00083,49.60412,0.022321,-0.145991
22:19:14 27/6/2026,BTC,Open Long,59596.9759036145,0.00083,49.46549000000003,0.022258,-0.022258
22:19:17 27/6/2026,BTC,Open Long,59622,0.00084,50.082480000000004,0.007512,-0.007512
22:19:23 27/6/2026,BTC,Close Long,59394.3952095808,0.00167,99.18863999999994,0.044634,-0.403859
23:55:34 27/6/2026,BTC,Open Short,60065,0.00166,99.7079,0.014956,-0.014956
01:55:45 28/6/2026,BTC,Close Short,60083,0.00166,99.73778,0.044882,-0.074762
02:52:34 28/6/2026,BTC,Open Long,59758,0.00152,90.83216,0.013624,-0.013624
03:02:34 28/6/2026,BTC,Close Long,59358,0.00152,90.22416000000001,0.0406,-0.6486
03:03:13 28/6/2026,BTC,Open Long,59355,0.00168,99.71640000000001,0.014957,-0.014957
03:49:35 28/6/2026,BTC,Close Long,59624,0.00084,50.084160000000004,0.007512,0.218448
03:52:47 28/6/2026,BTC,Close Long,59893,0.00084,50.310120000000005,0.007546,0.444374
03:53:11 28/6/2026,BTC,Open Short,59864.7005988024,0.00167,99.97405000000002,0.044987,-0.044987
04:45:02 28/6/2026,BTC,Close Short,59565,0.00083,49.43895,0.007415,0.241336
05:28:40 28/6/2026,BTC,Close Short,59265,0.00084,49.7826,0.007467,0.49628099999999997
05:30:28 28/6/2026,BTC,Open Long,59117,0.00169,99.90773,0.014986,-0.014986
